Customer_ID,Age,Gender,City,Employment_Type,Annual_Income,Loan_Amount,Loan_Purpose,Credit_Score,Loan_Tenure_Years,EMI_Amount,Payment_History,Loan_Status,DTI_Ratio,LTI_Ratio,Credit_Tier
CUST00351,46,Male,Ahmedabad,Salaried,1203171.0,1328673,Personal Loan,808.0,14,7908.77,Missed,Defaulted,0.07887926155135055,1.1043093625095686,Excellent
CUST01392,37,Female,Lucknow,Business Owner,2236982.0,3596293,Personal Loan,679.0,7,42813.01,Excellent,Rejected,0.2296648430787552,1.607653973076225,Good
CUST01088,64,Female,Mumbai,Salaried,1561871.0,1654592,Business Loan,661.0,8,17235.33,Good,Rejected,0.13242064165350403,1.0593653381105097,Good
CUST00066,35,Female,Ahmedabad,Self-Employed,395246.0,638574,Business Loan,528.0,9,5912.72,Good,Rejected,0.17951513740809522,1.6156368438896282,Poor
CUST00980,24,Female,Hyderabad,Freelancer,1993795.0,1596064,Education Loan,510.0,5,26601.07,Excellent,Rejected,0.16010313999182463,0.8005155996479076,Poor
CUST00125,48,Male,Ahmedabad,Salaried,1035036.0,2685466,Home Loan,468.0,8,27973.6,Excellent,Defaulted,0.3243203134963421,2.5945628944307253,Poor
CUST01269,61,Female,Mumbai,Salaried,1911952.0,1821503,Personal Loan,826.0,3,50597.31,Delayed,Rejected,0.317564311237939,0.9526928500297078,Excellent
CUST01682,45,Female,Mumbai,Business Owner,1985818.0,1016325,Personal Loan,437.0,1,84693.75,Delayed,Defaulted,0.5117916143372655,0.5117916143372655,Poor
CUST01316,38,Female,Mumbai,Freelancer,962371.0,878411,Personal Loan,811.0,16,4575.06,Good,Approved,0.057047354918217615,0.9127571383593229,Excellent
CUST00544,35,Male,Chennai,Business Owner,1357588.5,4511902,Car Loan,846.0,9,41776.87,Delayed,Defaulted,0.3692742241113563,3.323468046466216,Excellent
CUST00874,41,Female,Kolkata,Salaried,392512.0,3974152,Business Loan,661.0,8,41397.42,Good,Defaulted,1.2656149111364747,10.1249184738301,Good
CUST01492,53,Female,Hyderabad,Self-Employed,1353824.0,2167191,Home Loan,821.0,3,60199.75,Missed,Defaulted,0.5335974247760418,1.6007922743281253,Excellent
CUST01944,59,Male,Ahmedabad,Business Owner,555054.0,3397526,Business Loan,538.0,15,18875.14,Delayed,Defaulted,0.4080714308878055,6.1210729046182895,Poor
CUST01621,40,Female,Kolkata,Freelancer,2177334.0,3850760,Home Loan,800.0,19,16889.3,Missed,Defaulted,0.09308245772123155,1.7685665129924946,Excellent
CUST00375,36,Male,Jaipur,Business Owner,1063403.0,2871839,Business Loan,728.0,15,15954.66,Delayed,Rejected,0.18004079356556263,2.7006120915588916,Good
CUST01248,61,Female,Mumbai,Freelancer,1558097.0,3133128,Business Loan,801.0,5,52218.8,Good,Approved,0.40217367724859243,2.010868386242962,Excellent
CUST00213,27,Female,Delhi,Freelancer,1956124.0,4159404,Business Loan,389.0,13,26662.85,Delayed,Defaulted,0.16356539769462466,2.1263498633010993,Poor
CUST00875,49,Male,Pune,Freelancer,1161703.0,958017,Car Loan,732.0,15,5322.32,Delayed,Approved,0.05497776970533776,0.8246660290969379,Good
CUST00325,24,Female,Lucknow,Freelancer,1221318.0,2856284,Education Loan,816.0,15,15868.24,Good,Approved,0.15591261244000335,2.338689841630108,Excellent
CUST00030,49,Male,Lucknow,Self-Employed,2149022.0,4713062,Business Loan,745.0,14,28053.94,Missed,Defaulted,0.15665138839900195,2.1931194748122635,Good
CUST01836,31,Male,Chennai,Business Owner,2232816.0,3126263,Home Loan,847.0,5,52104.38,Excellent,Approved,0.2800286991852441,1.4001435854992081,Excellent
CUST00781,22,Male,Jaipur,Business Owner,325149.0,220948,Business Loan,414.0,12,1534.36,Good,Defaulted,0.0566273308544698,0.6795284623357292,Poor
CUST00290,43,Female,Hyderabad,Freelancer,919401.0,969134,Education Loan,492.0,10,8076.12,Delayed,Defaulted,0.10540932628961683,1.054092827830294,Poor
CUST01264,32,Male,Jaipur,Salaried,2430324.0,2752303,Personal Loan,795.0,17,13491.68,Good,Approved,0.06661669802051084,1.1324839815596603,Excellent
CUST00496,30,Male,Delhi,Freelancer,2327599.0,4694081,Home Loan,576.0,12,32597.78,Excellent,Rejected,0.16805874207713614,2.016705197072176,Fair
CUST00271,39,Male,Lucknow,Salaried,902436.0,4280987,Car Loan,306.0,14,25482.07,Excellent,Defaulted,0.33884379612515453,4.7438123035871795,Poor
CUST00965,59,Male,Delhi,Self-Employed,2129341.0,2048547,Home Loan,857.0,19,8984.86,Good,Approved,0.050634595398294596,0.9620568053684215,Excellent
CUST00353,34,Female,Delhi,Self-Employed,1570485.0,3507521,Education Loan,574.0,17,17193.73,Good,Rejected,0.13137646013811022,2.2333998732875515,Fair
CUST00101,28,Female,Jaipur,Salaried,404451.0,2548578,Home Loan,638.0,11,19307.41,Excellent,Defaulted,0.5728479346076533,6.3013269839857,Fair
CUST00737,63,Female,Lucknow,Salaried,1416593.0,3621387,Education Loan,372.0,13,23214.02,Good,Defaulted,0.19664663033065954,2.556406109588287,Poor
CUST00255,24,Male,Delhi,Salaried,794305.0,345599,Education Loan,827.0,14,2057.14,Delayed,Rejected,0.03107833892522394,0.4350960902927717,Excellent
CUST01423,55,Male,Ahmedabad,Freelancer,2101740.0,3332808,Personal Loan,765.0,13,21364.15,Delayed,Approved,0.12197978817551172,1.5857375317593994,Excellent
CUST00586,60,Female,Mumbai,Self-Employed,1426408.0,4827421,Education Loan,599.0,14,28734.65,Good,Rejected,0.24173714673501553,3.3843199140778797,Fair
CUST00553,33,Male,Delhi,Self-Employed,1353824.0,2927429,Education Loan,842.0,13,18765.57,Delayed,Approved,0.1663339104639894,2.162340895123738,Excellent
CUST00744,31,Female,Jaipur,Salaried,783098.0,4518653,Car Loan,613.0,1,376554.42,Missed,Defaulted,5.770226765998636,5.770226714919461,Fair
CUST00057,27,Female,Jaipur,Business Owner,1282660.0,4181146,Education Loan,642.0,10,34842.88,Excellent,Approved,0.3259745840674847,3.2597461525267803,Fair
CUST00394,40,Female,Jaipur,Self-Employed,832543.0,4450852,Home Loan,570.0,13,28531.1,Missed,Defaulted,0.41123785798451246,5.346092634254327,Fair
CUST01365,47,Female,Kolkata,Freelancer,1063659.0,674773,Business Loan,604.0,15,3748.74,Delayed,Rejected,0.04229257685028754,0.6343884647241268,Fair
CUST00614,62,Female,Lucknow,Business Owner,2131342.0,3898189,Car Loan,453.0,17,19108.77,Good,Defaulted,0.10758725723042102,1.8289833353821208,Poor
CUST01002,31,Male,Jaipur,Self-Employed,1657640.0,3868971,Personal Loan,443.0,9,35823.81,Missed,Defaulted,0.2593359957529982,2.3340236722086822,Poor
CUST01024,26,Male,Chennai,Business Owner,1742247.0,2469493,Home Loan,693.0,9,22865.68,Delayed,Rejected,0.15749096425478135,1.4174184257456033,Good
CUST01713,55,Female,Chennai,Self-Employed,2022744.0,2951884,Home Loan,658.0,5,49198.07,Good,Approved,0.29186928251919175,1.459346313720372,Good
CUST00681,52,Male,Ahmedabad,Business Owner,719165.0,921158,Personal Loan,346.0,10,7676.32,Delayed,Defaulted,0.12808721225309908,1.2808715663303971,Poor
CUST01564,57,Female,Chennai,Self-Employed,612672.0,1431710,Home Loan,361.0,10,11930.92,Good,Defaulted,0.2336830147289251,2.3368294944113654,Poor
CUST01524,64,Female,Bangalore,Salaried,2489181.0,102949,Car Loan,530.0,17,504.65,Missed,Defaulted,0.0024328483947129594,0.04135858340554584,Poor
CUST01898,29,Female,Lucknow,Salaried,1652591.0,820348,Business Loan,721.0,2,34181.17,Missed,Defaulted,0.2482005771542989,0.4964011058997659,Good
CUST00535,33,Male,Ahmedabad,Salaried,1152246.0,2055534,Car Loan,792.0,7,24470.64,Excellent,Approved,0.25484807931639597,1.7839367635036267,Excellent
CUST00308,38,Male,Ahmedabad,Business Owner,1255675.0,1866760,Home Loan,594.0,9,17284.81,Excellent,Rejected,0.16518423955243197,1.4866585700917834,Fair
CUST00969,54,Female,Ahmedabad,Self-Employed,1533572.0,4379454,Education Loan,554.0,17,21467.91,Missed,Defaulted,0.16798358342484082,2.855721152968364,Fair
CUST01469,63,Female,Mumbai,Salaried,828889.0,1621480,Car Loan,435.0,2,67561.67,Excellent,Defaulted,0.978104474784923,1.9562088530551136,Poor
CUST01936,34,Female,Kolkata,Self-Employed,1367272.0,3971087,Car Loan,594.0,5,66184.78,Delayed,Rejected,0.5808773674879614,2.904386983716481,Fair
CUST00549,50,Male,Lucknow,Business Owner,858003.0,482829,Home Loan,483.0,7,5747.96,Delayed,Defaulted,0.08039076786444803,0.5627357946300887,Poor
CUST01126,35,Male,Mumbai,Freelancer,1185132.0,3331837,Home Loan,319.0,4,69413.27,Delayed,Defaulted,0.7028408987353307,2.8113636286928374,Poor
CUST00412,43,Male,Delhi,Salaried,2364412.0,3196779,Car Loan,883.0,17,15670.49,Delayed,Approved,0.07953177365027754,1.3520397460341091,Excellent
CUST01407,46,Female,Hyderabad,Freelancer,1973055.0,4791875,Car Loan,702.0,15,26621.53,Excellent,Approved,0.16191051947360818,2.4286575893728255,Good
CUST01419,60,Male,Chennai,Freelancer,2006684.0,4827347,Home Loan,693.0,17,23663.47,Missed,Defaulted,0.1415079005962075,2.405633871601109,Good
CUST01250,33,Male,Pune,Salaried,1494315.0,3144510,Personal Loan,486.0,12,21836.88,Missed,Defaulted,0.17535965308519288,2.1043153551961935,Poor
CUST01952,62,Male,Pune,Salaried,642899.0,3043220,Personal Loan,464.0,14,18114.4,Missed,Defaulted,0.3381134517241433,4.733589568501428,Poor
CUST00257,45,Female,Delhi,Business Owner,1482789.0,647904,Car Loan,444.0,13,4153.23,Delayed,Defaulted,0.03361149833185976,0.4369495592427513,Poor
CUST01086,48,Male,Mumbai,Self-Employed,417770.0,1458277,Home Loan,704.0,13,9347.93,Good,Rejected,0.2685093711851019,3.4906216339133973,Good
CUST00731,55,Female,Bangalore,Business Owner,643316.0,2340146,Personal Loan,688.0,3,65004.06,Excellent,Approved,1.2125436332999646,3.6376306511885295,Good
CUST01495,61,Female,Pune,Salaried,1719593.0,1589663,Personal Loan,494.0,2,66235.96,Good,Defaulted,0.4622207231594918,0.9244414230576654,Poor
CUST01857,58,Female,Jaipur,Freelancer,390920.0,1836852,Personal Loan,355.0,12,12755.92,Excellent,Defaulted,0.39156615164227976,4.698792591834646,Poor
CUST00345,64,Female,Jaipur,Salaried,1457008.0,4482027,Business Loan,497.0,12,31125.19,Excellent,Defaulted,0.25634881894951844,3.076185580312531,Poor
CUST01961,36,Male,Bangalore,Business Owner,2062205.0,2598600,Car Loan,538.0,1,216550.0,Good,Rejected,1.2601075062857476,1.2601075062857476,Poor
CUST01424,46,Female,Jaipur,Business Owner,1654089.0,2019412,Personal Loan,758.0,12,14023.69,Missed,Defaulted,0.10173834660650062,1.2208605461979374,Excellent
CUST01890,59,Female,Delhi,Self-Employed,1349122.0,3799199,Home Loan,752.0,14,22614.28,Delayed,Approved,0.20114664203830343,2.8160529588873358,Excellent
CUST01186,26,Female,Ahmedabad,Salaried,2463429.0,4594350,Home Loan,700.0,10,38286.25,Excellent,Approved,0.18650222920977222,1.8650222920977224,Good
CUST01478,36,Male,Hyderabad,Salaried,2390482.0,4467338,Car Loan,673.0,18,20682.12,Excellent,Rejected,0.10382234210506501,1.8688021913572241,Good
CUST01994,55,Female,Pune,Business Owner,1357588.5,1893529,Business Loan,359.0,1,157794.08,Excellent,Defaulted,1.3947738655711948,1.394773895035204,Poor
CUST01780,41,Female,Bangalore,Freelancer,1423451.0,99768,Home Loan,574.0,17,489.06,Delayed,Rejected,0.004122881644679023,0.0700888193552149,Fair
CUST00300,51,Male,Delhi,Salaried,420169.0,1367621,Business Loan,744.0,15,7597.89,Delayed,Approved,0.2169952566705302,3.254930754053726,Good
CUST01119,50,Female,Ahmedabad,Self-Employed,2232714.0,3473994,Education Loan,838.0,13,22269.19,Delayed,Rejected,0.11968854049376676,1.5559511876577117,Excellent
CUST01926,26,Male,Bangalore,Salaried,1108380.0,800774,Personal Loan,390.0,6,11121.86,Missed,Defaulted,0.12041206084555839,0.7224724372507624,Poor
CUST01300,58,Female,Ahmedabad,Self-Employed,1836974.0,4563207,Personal Loan,314.0,10,38026.72,Excellent,Defaulted,0.24840887241735593,2.4840890507976705,Poor
CUST00070,35,Male,Pune,Freelancer,1066964.0,2632985,Personal Loan,701.0,4,54853.85,Excellent,Rejected,0.6169338421914891,2.4677355562137056,Good
CUST01568,33,Male,Pune,Freelancer,1758141.0,2268787,Personal Loan,897.0,9,21007.29,Delayed,Approved,0.14338297099038133,1.2904465569030015,Excellent
CUST00573,38,Female,Ahmedabad,Self-Employed,480466.0,718629,Personal Loan,668.0,16,3742.86,Missed,Defaulted,0.09348074577597583,1.4956916826580862,Good
CUST01884,46,Female,Pune,Self-Employed,297406.0,2163048,Home Loan,703.0,5,36050.8,Missed,Defaulted,1.4546095236814323,7.27304761840716,Good
CUST01152,44,Male,Lucknow,Business Owner,1731192.0,3525488,Personal Loan,511.0,16,18361.92,Good,Rejected,0.12727822217293056,2.0364511850794136,Poor
CUST01477,45,Female,Chennai,Salaried,2030791.0,4663311,Business Loan,607.0,4,97152.31,Good,Rejected,0.574075677900877,2.2963027706937837,Fair
CUST00880,51,Female,Delhi,Freelancer,910644.0,1733032,Home Loan,413.0,5,28883.87,Missed,Defaulted,0.38061683819363,1.903083971343357,Poor
CUST01768,36,Female,Delhi,Salaried,1525644.0,3301830,Home Loan,569.0,16,17197.03,Delayed,Rejected,0.13526377057819516,2.1642204865617405,Fair
CUST00819,36,Male,Mumbai,Self-Employed,2434805.0,1885295,Car Loan,624.0,3,52369.31,Delayed,Approved,0.25810351136949367,0.7743104683947996,Fair
CUST00481,47,Female,Delhi,Business Owner,1985516.0,1677059,Business Loan,862.0,6,23292.49,Good,Approved,0.1407744284105492,0.8446464294420191,Excellent
CUST00100,49,Female,Bangalore,Salaried,1260899.0,3790030,Business Loan,312.0,6,52639.31,Excellent,Defaulted,0.5009693242678438,3.005815691819884,Poor
CUST00608,58,Female,Bangalore,Salaried,1024255.0,1815317,Personal Loan,486.0,2,75638.21,Excellent,Defaulted,0.8861645976831941,1.7723291563136132,Poor
CUST00742,31,Male,Hyderabad,Salaried,1073093.0,82766,Home Loan,366.0,18,383.18,Excellent,Defaulted,0.004284959458313492,0.07712845019024446,Poor
CUST01631,33,Male,Mumbai,Salaried,445300.0,4661008,Business Loan,633.0,9,43157.48,Delayed,Defaulted,1.1630131596676399,10.46711879631709,Fair
CUST01665,38,Female,Chennai,Salaried,1755537.0,3529799,Business Loan,656.0,3,98049.97,Excellent,Rejected,0.6702220688028792,2.0106662519787393,Good
CUST00562,30,Male,Jaipur,Self-Employed,451351.0,616510,Car Loan,763.0,11,4670.53,Good,Approved,0.12417466672279445,1.3659214225735625,Excellent
CUST00112,43,Female,Bangalore,Freelancer,1042981.0,1734449,Education Loan,581.0,6,24089.57,Delayed,Rejected,0.27716213430541875,1.6629727674809034,Fair
CUST01023,48,Male,Delhi,Freelancer,2055227.0,3932506,Car Loan,532.0,9,36412.09,Excellent,Rejected,0.21260185857815217,1.913416863441362,Poor
CUST00240,56,Male,Delhi,Freelancer,2133731.0,4958951,Car Loan,777.0,11,37567.81,Missed,Defaulted,0.2112795474218634,2.3240750591335084,Excellent
CUST01212,30,Male,Ahmedabad,Freelancer,2395690.0,1634645,Education Loan,682.0,3,45406.81,Delayed,Approved,0.227442498820799,0.6823274296757927,Good
CUST00129,47,Male,Jaipur,Freelancer,1505487.0,1596933,Home Loan,339.0,10,13307.78,Missed,Defaulted,0.10607422050140587,1.0607418064719256,Poor
CUST01972,56,Female,Jaipur,Self-Employed,1034440.0,4739133,Education Loan,844.0,13,30379.06,Missed,Defaulted,0.35241166234871046,4.581351262518851,Excellent
CUST01950,39,Female,Hyderabad,Self-Employed,2214017.0,1252532,Business Loan,786.0,3,34792.56,Excellent,Approved,0.1885761130108757,0.5657282667657927,Excellent
CUST00508,33,Female,Bangalore,Salaried,1939461.0,4736134,Business Loan,772.0,17,23216.34,Excellent,Approved,0.1436461367359282,2.4419846544993686,Excellent
CUST01905,22,Male,Chennai,Freelancer,320076.0,2158701,Home Loan,865.0,18,9993.99,Missed,Defaulted,0.37468563716117426,6.7443388445244254,Excellent
CUST01259,22,Male,Chennai,Business Owner,488816.0,2251016,Personal Loan,385.0,1,187584.67,Good,Defaulted,4.605037560145331,4.605037478314949,Poor
CUST01960,42,Female,Bangalore,Salaried,1721722.0,2118884,Home Loan,877.0,16,11035.85,Good,Approved,0.07691729559127432,1.2306771941114767,Excellent
CUST00707,55,Male,Bangalore,Self-Employed,2331018.0,2782406,Personal Loan,693.0,13,17835.94,Delayed,Rejected,0.09181880191401352,1.1936441503240216,Good
CUST01826,56,Female,Ahmedabad,Freelancer,1391855.0,2927668,Home Loan,424.0,18,13554.02,Missed,Defaulted,0.11685717262214813,2.10342887728966,Poor
CUST01672,59,Male,Mumbai,Business Owner,1294409.0,516995,Business Loan,798.0,1,43082.92,Missed,Defaulted,0.3994062464027985,0.3994062155006648,Excellent
CUST00520,40,Male,Lucknow,Business Owner,1357588.5,4524843,Car Loan,647.0,19,19845.8,Good,Defaulted,0.1754210498984044,3.333000390029821,Fair
CUST00987,51,Male,Chennai,Salaried,2430393.0,1756930,Home Loan,468.0,8,18301.35,Excellent,Defaulted,0.09036242286741279,0.7228995475217382,Poor
CUST00941,29,Male,Delhi,Self-Employed,1234262.0,1646246,Education Loan,357.0,13,10552.86,Missed,Defaulted,0.10259922123503762,1.3337897464233688,Poor
CUST01827,58,Female,Bangalore,Freelancer,1674620.0,856017,Education Loan,378.0,13,5487.29,Excellent,Defaulted,0.03932084890900622,0.5111708925009854,Poor
CUST00904,64,Male,Ahmedabad,Self-Employed,1719825.0,192157,Education Loan,391.0,14,1143.79,Excellent,Defaulted,0.00798074222668004,0.11173055398078292,Poor
CUST01108,61,Female,Lucknow,Self-Employed,1780932.0,4078604,Home Loan,368.0,4,84970.92,Good,Defaulted,0.5725378846581453,2.2901514487919807,Poor
CUST01064,47,Female,Kolkata,Freelancer,1391855.0,2416304,Car Loan,328.0,17,11844.63,Good,Defaulted,0.10211951676000733,1.7360314113179893,Poor
CUST00368,44,Male,Kolkata,Business Owner,615384.0,4890349,Car Loan,722.0,16,25470.57,Delayed,Defaulted,0.49667661167661165,7.946825071825072,Good
CUST00367,53,Female,Lucknow,Self-Employed,1424648.0,1570180,Car Loan,828.0,1,130848.33,Excellent,Approved,1.1021529247926505,1.1021529528697616,Excellent
CUST01422,34,Female,Kolkata,Business Owner,1594316.0,3269598,Education Loan,404.0,12,22705.54,Missed,Defaulted,0.17089866751635183,2.0507841607309967,Poor
CUST00675,22,Male,Chennai,Business Owner,1649796.0,2730259,Personal Loan,560.0,12,18960.13,Excellent,Rejected,0.1379089051009943,1.6549070309298846,Fair
CUST01813,59,Male,Kolkata,Freelancer,970692.0,1930164,Car Loan,655.0,9,17871.89,Delayed,Rejected,0.22093792881779184,1.9884412357369794,Good
CUST01513,57,Female,Hyderabad,Freelancer,1595796.0,2546589,Personal Loan,379.0,18,11789.76,Delayed,Defaulted,0.08865614401840836,1.5958111187144222,Poor
CUST00597,34,Female,Lucknow,Salaried,1838497.0,3760879,Car Loan,391.0,6,52234.43,Missed,Defaulted,0.3409378204043847,2.0456269441832107,Poor
CUST01197,59,Male,Mumbai,Business Owner,1748485.0,741252,Home Loan,787.0,7,8824.43,Delayed,Approved,0.06056280723025934,0.4239395819809721,Excellent
CUST01527,52,Female,Mumbai,Business Owner,1731064.0,3604184,Education Loan,389.0,15,20023.24,Excellent,Defaulted,0.13880415744305236,2.0820628237892995,Poor
CUST00465,22,Female,Jaipur,Self-Employed,1538486.0,4511213,Business Loan,802.0,15,25062.29,Good,Approved,0.19548275382421418,2.932241827354945,Excellent
CUST01677,59,Male,Mumbai,Self-Employed,1863129.0,3424775,Personal Loan,499.0,15,19026.53,Good,Defaulted,0.12254565303851746,1.838184580885167,Poor
CUST01803,29,Female,Mumbai,Freelancer,1945030.0,4336476,Business Loan,700.0,5,72274.6,Excellent,Rejected,0.4459032508496013,2.2295162542480065,Good
CUST01053,30,Male,Chennai,Business Owner,238635.0,1440598,Personal Loan,596.0,13,9234.6,Good,Defaulted,0.46437111069206116,6.036826115196849,Fair
CUST01975,32,Male,Mumbai,Salaried,1697404.0,948704,Personal Loan,500.0,12,6588.22,Excellent,Rejected,0.046576206960747116,0.5589146720521455,Poor
CUST00486,28,Male,Bangalore,Business Owner,2373408.0,942015,Home Loan,818.0,14,5607.23,Delayed,Approved,0.028350271002710026,0.3969039457185617,Excellent
CUST00916,41,Male,Jaipur,Self-Employed,884029.0,103687,Personal Loan,841.0,11,785.51,Excellent,Approved,0.010662681880345554,0.11728913870472575,Excellent
CUST01265,61,Male,Ahmedabad,Self-Employed,393069.0,2487587,Home Loan,399.0,2,103649.46,Excellent,Defaulted,3.1643134411515534,6.328626780539803,Poor
CUST00679,38,Male,Mumbai,Salaried,1416593.0,4862066,Education Loan,720.0,3,135057.39,Excellent,Defaulted,1.1440750307251273,3.432225063938619,Good
CUST00830,38,Female,Bangalore,Business Owner,562455.0,3654724,Personal Loan,765.0,17,17915.31,Good,Defaulted,0.3822238579086327,6.497806935665964,Excellent
CUST00923,36,Male,Delhi,Business Owner,1192382.0,2069450,Education Loan,361.0,1,172454.17,Missed,Defaulted,1.7355596109300544,1.735559577383758,Poor
CUST01113,51,Female,Pune,Salaried,1587784.0,2942531,Business Loan,519.0,11,22291.9,Delayed,Rejected,0.16847556090752902,1.8532312959445365,Poor
CUST00619,24,Male,Delhi,Self-Employed,489768.0,3913741,Home Loan,648.0,1,326145.08,Missed,Defaulted,7.9910099475670116,7.991010029238333,Fair
CUST00772,40,Male,Mumbai,Freelancer,1384141.0,1747818,Education Loan,846.0,4,36412.88,Good,Approved,0.31568645101907966,1.2627456306835791,Excellent
CUST01287,30,Male,Ahmedabad,Self-Employed,2411549.0,2065726,Personal Loan,573.0,13,13241.83,Missed,Rejected,0.06589207185920751,0.8565971497987394,Fair
CUST01545,45,Female,Jaipur,Freelancer,515018.0,3758201,Business Loan,844.0,7,44740.49,Excellent,Defaulted,1.0424604188591466,7.2972226213452736,Excellent
CUST00594,60,Female,Pune,Business Owner,1771951.0,2760864,Home Loan,594.0,9,25563.56,Excellent,Rejected,0.17312144636053708,1.5580927463569816,Fair
CUST00116,56,Male,Mumbai,Salaried,1748075.0,3049610,Personal Loan,450.0,16,15883.39,Delayed,Defaulted,0.10903461235930952,1.7445532943380575,Poor
CUST00768,24,Male,Jaipur,Salaried,1458870.0,1966334,Car Loan,748.0,4,40965.29,Good,Approved,0.33696181290999194,1.3478473064769307,Good
CUST01858,33,Female,Jaipur,Self-Employed,1098332.0,4586857,Car Loan,502.0,13,29402.93,Missed,Defaulted,0.32124636266629764,4.176202641824148,Poor
CUST00901,32,Female,Hyderabad,Self-Employed,455948.0,3096555,Car Loan,612.0,19,13581.38,Missed,Defaulted,0.35744549817084403,6.791465254809759,Fair
CUST01947,40,Female,Kolkata,Self-Employed,880667.0,739925,Home Loan,752.0,11,5605.49,Good,Approved,0.07638060697176118,0.8401870400503255,Excellent
CUST01441,56,Male,Chennai,Salaried,306611.0,3829044,Personal Loan,454.0,7,45583.86,Good,Defaulted,1.784040102931728,12.488279937771313,Poor
CUST01791,27,Male,Lucknow,Business Owner,1843707.0,4643321,Business Loan,888.0,6,64490.57,Delayed,Approved,0.41974502456192875,2.5184701256761515,Excellent
CUST00889,47,Female,Ahmedabad,Salaried,485521.0,1302390,Car Loan,471.0,16,6783.28,Missed,Defaulted,0.16765363393138505,2.682458637216516,Poor
CUST00212,30,Male,Mumbai,Salaried,451537.0,2434775,Personal Loan,469.0,9,22544.21,Missed,Defaulted,0.5991325627800158,5.392193773710681,Poor
CUST00451,23,Male,Mumbai,Salaried,1782460.0,594026,Education Loan,477.0,6,8250.36,Excellent,Defaulted,0.05554364193305881,0.3332618964801454,Poor
CUST01177,44,Male,Lucknow,Self-Employed,1098488.0,521761,Business Loan,359.0,10,4348.01,Missed,Defaulted,0.04749812469503536,0.4749810648819104,Poor
CUST00706,47,Male,Bangalore,Freelancer,868590.0,3061165,Home Loan,570.0,17,15005.71,Missed,Defaulted,0.20731129762028114,3.524292243751367,Fair
CUST01286,23,Female,Ahmedabad,Salaried,1115113.0,1693083,Business Loan,528.0,3,47030.08,Excellent,Rejected,0.5061020362958731,1.5183062165000318,Poor
CUST01095,50,Female,Delhi,Salaried,518766.0,4266794,Business Loan,316.0,8,44445.77,Good,Defaulted,1.0281114028290212,8.22489137684428,Poor
CUST00211,54,Male,Pune,Salaried,752467.0,402365,Education Loan,550.0,12,2794.2,Good,Rejected,0.044560625250010956,0.5347277687925185,Fair
